(1,-1101357721)
(-325085506,-1369428716)
(47766193,2147483647)
(808303655,-1617128574)
(2147483647,1616884055)
(78939702,-2147483648)
(0,1)
(2147483647,-1)
(2147483647,2147483647)
(-1,2147483647)
(-2147483648,-568725760)
(-1565353841,1374010949)
(-1934233847,2147483647)
(-1004558366,62976403)
(2147483647,-1)
(2147483647,2147483647)
(0,-1038879247)
(0,-2041030022)
(1266672867,-2076530764)
(-2147483648,-460393982)
(-2147483648,-269347348)
(-1010386102,-2147483648)
(-1,66033924)
(-2147483648,-1985284475)
(0,0)
(-67242390,2147483647)
(-2147483648,1)
(249985682,-264510566)
(-1,2020376992)
(2147483647,0)
(1707334736,0)
(1,1694295471)
(-1,2086555673)
(2147483647,1241404361)
(-1212569308,1)
(1790218382,1246511910)
(-789867332,-2123282031)
(73763305,1)
(1,-1)
(-1,2147483647)
(2147483647,1)
(-459868210,0)
(0,-1)
(1980338072,-1)
(-2147483648,529876561)
(2147483647,0)
(1485860113,623017590)
(1735493884,-1469938491)
(-2147483648,52130805)
(312768190,-1218334474)
(-2147483648,1833849905)
(0,0)
(1917451693,2147483647)
(-143115106,-2147483648)
(-2147483648,553349666)
(-2147483648,-1)
(-310632537,1)
(-871044503,999388711)
(-1828776457,2147483647)
(257702642,-1191974018)
(1843956329,-1046985221)
(-1,-1)
(2147483647,0)
(1896873438,1)
(0,-550902544)
(2147483647,-1244849239)
(0,-2147483648)
(0,0)
(-1,699585074)
(1268752591,371150711)
(996177601,232392766)
(1130841126,1496018824)
(-1610392290,-2147483648)
(-1,-1201203212)
(-995143451,1393384791)
(1,-2147483648)
(1362795283,-1782263664)
(-190398381,563984602)
(2116937941,1641677129)
(-975418033,-375493947)
(2147483647,1660224591)
(-932390515,625263943)
(-1809362175,0)
(-1838701226,2147483647)
(1,2147483647)
(2147483647,329029787)
(-534970805,-2147483648)
(2147483647,-2067718160)
(640114194,1588528367)
(190821129,751330634)
(257933753,63909855)
(-1841928924,0)
(-2147483648,2147483647)
(-1,-1)
(0,973828872)
(-2147483648,-1940946638)
(0,1)
(-456965897,-2147483648)
(0,-1)
(-2147483648,0)
+ Math.max: OK, passed 100 tests.

Process finished with exit code 0

